R_ID,Resource,Name,Existing_Cap_MW,num_units,Cap_size,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Fuel,Heat_Rate_MMBTU_per_MWh,Ramp_up_percentage,Ramp_dn_percentage
1,WT,Steel Winds Wind Farm,20,1,20,0,0,WND,0,1,1
2,WT,Steel Winds II,15,1,15,0,0,WND,0,1,1
3,PV,Steel Sun 2 2303-III-2 Hamburg Tpke,2,1,2,0,0,SUN,0,1,1
4,PV,Steel Sun 2 2303-III-4 Hamburg Tpke,2,1,2,0,0,SUN,0,1,1
5,PV,Steel Sun 2 2303-III-9 Hamburg Tpke,2,1,2,0,0,SUN,0,1,1
6,WT,High Sheldon,112.5,1,112.5,0,0,WND,0,1,1
7,CC,Fossil-Fuel Generation,2000,1,2000,3,0,NG,9.1,3.78,1
8,BM,"Covanta Niagara I, LLC",36,1,36,0,0,BM,12.6,1,1
9,HY,Hydraulic Race,2.8,1,2.8,0,0,WTR,0,1,1
10,PV,AES Tonawanda Solar LLC,2,1,2,0,0,SUN,0,1,1
11,HY,Robert Moses Niagara,422.66,1,422.6634,0,0,WTR,0,1,1
12,BM,Chaffee Gas Recovery,6.4,1,6.4,0,0,BM,12.6,1,1
13,PS,Lewiston Niagara,240,1,240,0,0,WTR,0,1,1
14,PV,Pearl CSG,4,1,4,0,0,SUN,0,1,1
15,PV,"Ransomville Solar 1, LLC",5,1,5,0,0,SUN,0,1,1
16,WT,Seneca Nation Cattaraugus Wind Turbine,1.5,1,1.5,0,0,WND,0,1,1
17,WT,Noble Wethersfield Windpark LLC,126,1,126,0,0,WND,0,1,1
18,WT,Wethersfield Wind Farm,6.6,1,6.6,0,0,WND,0,1,1
19,PV,"Call Farms 1, 61470",2,1,2,0,0,SUN,0,1,1
20,WT,Noble Bliss Windpark LLC,100.5,1,100.5,0,0,WND,0,1,1
21,PV,"Call Farms 3, 61471",2,1,2,0,0,SUN,0,1,1
22,PV,"Lichtenthal, 61469",2,1,2,0,0,SUN,0,1,1
23,WT,Arkwright Summit Wind Farm LLC,78.4,1,78.4,0,0,WND,0,1,1
24,BM,Model City Energy Facility,5.6,1,5.6,0,0,BM,12.6,1,1
25,HY,Glenwood Hydro,1.5,1,1.5,0,0,WTR,0,1,1